,nBalls,meanGap,nBins,batchPercentage,std
0,100,1.1800000000000002,1000,0.01,0.4501256106095643
1,1000,2.01,1000,0.01,0.09974842727441166
2,10000,2.38,1000,0.01,0.48660447963206216
3,100000,4.585,1000,0.01,0.7453541197438271
4,1000000,16.505,1000,0.01,2.0299206608750096
5,100,1.3,1000,0.05,0.4911273054420348
6,1000,2.095,1000,0.05,0.2939507359675757
7,10000,3.51,1000,0.05,0.5844724460579857
8,100000,10.6,1000,0.05,1.6133862139540192
9,1000000,52.205,1000,0.05,4.375924884291871
10,100,1.405,1000,0.1,0.5012296437551299
11,1000,2.23,1000,0.1,0.4218885513364207
12,10000,4.685,1000,0.1,0.7607025316827484
13,100000,16.29,1000,0.1,2.1114428608830194
14,1000000,102.7,1000,0.1,6.357838512636493
15,100,1.8849999999999998,1000,0.5,0.3814479159240669
16,1000,3.56,1000,0.5,0.654631738894349
17,10000,10.855,1000,0.5,1.6331906066926007
18,100000,58.69,1000,0.5,4.502807611025542
19,1000000,503.25,1000,0.5,13.642878754262885
20,100,2.05,1000,1.0,0.3717404400571309
21,1000,4.515,1000,1.0,0.6572173714737264
22,10000,11.64,1000,1.0,1.4284967676111056
23,100000,33.62,1000,1.0,3.7168095682768265
24,1000000,103.745,1000,1.0,10.797355669201426
